# Labelled Samples, Accuracy, F1 Score
9,37.167,36.262
17,56.433,54.606
25,68.900,65.775
33,76.011,75.701
42,82.267,82.426
51,86.400,86.430
60,87.856,87.878
69,88.456,88.497
78,89.811,89.776
87,91.089,91.104
