# Labelled Samples, Accuracy, F1 Score
9,40.156,37.507
17,51.256,45.987
25,68.533,64.805
33,73.467,69.692
42,78.422,76.450
51,81.933,80.989
60,85.478,85.400
69,88.133,88.105
78,89.811,89.862
87,91.500,91.562
