# Labelled Samples, Accuracy, F1 Score
9,54.111,55.276
18,66.811,64.476
27,71.622,68.375
36,74.678,72.158
45,81.711,81.530
54,85.189,85.172
63,87.800,87.860
72,89.844,89.869
81,90.333,90.369
90,90.789,90.825
