# Labelled Samples, Accuracy, F1 Score
198,90.511,90.646
396,94.678,94.692
594,95.444,95.452
792,95.822,95.833
990,96.222,96.231
1188,96.333,96.341
1386,96.556,96.565
1584,96.689,96.696
1782,96.822,96.829
1980,96.844,96.849
2178,96.956,96.960
2376,96.956,96.960
2574,96.900,96.905
2772,97.022,97.026
2970,96.989,96.994
3168,97.022,97.027
3366,97.011,97.015
3564,97.056,97.060
3762,97.089,97.094
3960,97.078,97.082
4158,97.089,97.094
4356,97.089,97.094
4554,97.111,97.115
4752,97.122,97.126
4950,97.167,97.170
5148,97.167,97.170
5346,97.133,97.137
5544,97.122,97.126
5742,97.144,97.148
5940,97.189,97.192
6138,97.200,97.204
6336,97.200,97.203
6534,97.233,97.237
6732,97.222,97.225
6930,97.267,97.270
7128,97.267,97.270
7326,97.233,97.236
7524,97.267,97.270
7722,97.278,97.281
7920,97.256,97.259
8118,97.244,97.248
8316,97.233,97.237
8514,97.222,97.226
8712,97.211,97.214
8910,97.222,97.225
9108,97.244,97.248
9306,97.211,97.214
9504,97.222,97.225
9702,97.222,97.225
9900,97.244,97.248
