# Labelled Samples, Accuracy, F1 Score
8,20.795,11.379
13,31.702,16.188
19,27.982,18.714
26,37.513,20.164
34,40.367,20.679
42,42.304,24.921
50,41.182,24.574
58,44.597,25.890
66,45.566,28.071
74,39.297,25.378
