# Labelled Samples, Accuracy, F1 Score
8,25.841,12.477
16,25.484,17.246
24,30.734,19.460
32,33.333,19.165
40,38.685,23.255
48,42.202,24.435
56,43.629,25.700
64,45.923,27.166
72,48.624,28.430
80,50.051,29.388
