# Labelled Samples, Accuracy, F1 Score
8,28.899,11.682
12,13.201,9.085
17,15.698,12.177
23,19.980,17.298
30,28.746,21.089
38,33.945,23.648
46,41.081,31.083
54,41.845,30.324
62,42.355,31.612
70,37.054,29.917
