# Labelled Samples, Accuracy, F1 Score
8,28.389,8.726
16,36.850,14.258
24,34.964,14.467
32,37.615,23.617
40,39.399,25.903
48,41.182,26.227
56,42.508,26.621
64,44.088,26.395
72,45.260,26.304
80,46.024,26.032
