# Labelled Samples, Accuracy, F1 Score
8,23.802,11.663
16,35.831,18.389
24,43.374,20.223
32,43.476,19.716
40,45.566,23.520
48,46.891,25.814
56,44.597,22.061
64,49.592,26.037
72,47.859,28.746
80,50.255,32.024
