# Labelled Samples, Accuracy, F1 Score
8,29.052,12.859
16,29.052,15.359
24,28.695,19.024
32,29.817,18.775
40,33.333,20.415
48,31.906,18.321
56,35.168,21.525
64,39.195,22.706
72,39.195,25.062
80,39.653,25.413
