# Labelled Samples, Accuracy, F1 Score
8,30.071,12.961
16,23.394,14.232
24,16.106,13.144
32,22.834,17.769
40,29.918,20.235
48,26.860,21.358
56,33.537,23.847
64,28.644,22.392
72,26.809,22.197
80,32.620,24.681
