# Labelled Samples, Accuracy, F1 Score
8,31.804,9.020
16,32.161,12.579
24,28.695,14.297
32,36.391,18.751
40,30.683,16.264
48,35.729,20.587
56,34.709,22.703
64,38.277,24.197
72,40.622,25.853
80,38.838,25.540
