# Labelled Samples, Accuracy, F1 Score
8,37.717,12.233
11,40.979,12.530
14,33.231,13.501
17,42.355,15.795
21,41.131,14.250
25,39.195,14.159
29,38.736,15.529
33,43.578,17.331
37,45.107,18.522
42,41.743,17.588
