# Labelled Samples, Accuracy, F1 Score
8,32.365,9.156
16,42.712,14.651
24,41.335,20.219
32,44.241,22.961
40,46.432,26.101
48,44.241,23.724
56,44.343,25.492
64,46.024,27.429
72,45.464,30.185
80,45.668,28.658
