# Labelled Samples, Accuracy, F1 Score
8,32.365,10.808
16,29.001,18.003
24,31.193,19.863
32,44.190,27.871
40,42.355,31.389
48,37.768,24.751
56,39.093,27.339
64,38.481,27.239
72,41.030,29.547
80,39.755,28.744
