# Labelled Samples, Accuracy, F1 Score
8,20.540,13.142
13,23.853,14.677
19,41.947,18.827
25,41.131,20.861
32,43.017,22.420
40,41.539,21.946
48,40.469,23.817
56,42.406,25.299
64,46.228,26.851
72,44.088,25.667
