# Labelled Samples, Accuracy, F1 Score
8,34.506,18.584
14,34.964,17.733
20,41.233,18.017
26,41.182,21.879
33,40.061,19.397
41,40.367,22.070
49,42.151,24.426
57,44.954,26.495
65,46.279,27.163
73,44.954,26.666
