# Labelled Samples, Accuracy, F1 Score
8,21.764,14.332
13,25.178,16.976
19,32.365,16.613
26,36.646,18.056
33,30.377,14.772
41,39.348,18.934
49,38.583,18.400
57,43.731,22.059
65,41.488,23.335
73,41.386,22.755
